id,name,internal,catchment_id,created,last_modified,version
79,Dulas (North),FALSE,39,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
80,Dulas (South),FALSE,39,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
81,Dwyfach,FALSE,36,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
82,Dwyfawr,FALSE,37,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
83,Dwyryd,FALSE,38,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
84,Dyfi / Dovey,FALSE,39,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
85,Dysynni,FALSE,40,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
86,Eamont,FALSE,42,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
87,Ebbw,FALSE,41,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
88,Eden (Cumbria),FALSE,42,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
89,Eden (Wales),FALSE,82,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
90,Ehen,FALSE,43,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
91,Ellen,FALSE,44,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
92,Elwy,FALSE,25,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
93,Ely,FALSE,45,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
94,Erch,FALSE,46,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
95,Erme,FALSE,47,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
96,Esk (Border),FALSE,48,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
97,Esk (Cumbria),FALSE,49,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
98,Esk (Yorkshire),FALSE,50,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
99,Etherow,FALSE,84,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
100,Ewenny,FALSE,89,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
101,Exe,FALSE,51,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
102,Fal,FALSE,52,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
103,Fowey,FALSE,53,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
104,Frome,FALSE,54,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
105,Gannel,FALSE,55,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
106,Garw,FALSE,89,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
107,Gelt,FALSE,42,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
108,Glaslyn,FALSE,56,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
109,Grannell,FALSE,121,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
110,Greta (Keswick),FALSE,32,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
111,Greta (Lancaster),FALSE,78,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
112,Greta (Tees Bcastle),FALSE,120,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
113,Gwaun,FALSE,57,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
114,Gwendraeth (Fach),FALSE,59,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
115,Gwendraeth (Fawr),FALSE,58,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
116,Gwili,FALSE,131,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
